conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c3a03c5a-c260-4c26-9b9a-873abb396f4d,MATLAB,released,knowledge,sector-specific,,"Las técnicas y principios de desarrollo de software, como análisis, algoritmos, codificación, pruebas y compilación de paradigmas de programación en MATLAB.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,programación informática | desarrollo y análisis de software y aplicaciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c3e36d05-8ae8-447f-bb2b-6f9409f85389,proporcionar presentaciones visuales de datos,released,skill/competence,cross-sector,elaborar presentaciones visuales de datos | realizar presentaciones visuales de datos | ofrecer presentaciones visuales de datos | crear presentaciones visuales de datos | componer presentaciones visuales de datos,"Crear representaciones visuales de datos, como gráficos o diagramas, que faciliten su comprensión.",http://data.europa.eu/esco/skill/8f9f8b20-ff26-4392-b04f-695dcde5b90a,presentar investigación o información técnica
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c415ce6e-24f5-4130-add4-645b9d455c71,animar caracteres en 3D,released,skill/competence,cross-sector,,"Crear un esqueleto unido a una malla en 3D, fabricado con huesos y articulaciones, que permita que el carácter en 3D se doble en una posición deseada utilizando herramientas de TIC especializadas.",http://data.europa.eu/esco/skill/6b21150f-e704-4758-b102-63fd3412543c | http://data.europa.eu/esco/skill/b1115b14-fa16-4c1e-be6c-91fd49a1808b | http://data.europa.eu/esco/skill/f5b33464-4df9-4cf3-b468-b0a2d6b3ee85,crear personajes en 3D | utilizar herramientas de dibujo y diseño asistido por ordenador | manejar software de infografías 3D
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c453cf81-6197-428e-84c6-70c773b63f27,marcos de arquitectura de las TIC,released,knowledge,sector-specific,marco de referencia de arquitectura TI | arquitectura empresarial como marco metodológico | marcos de referencia de arquitectura empresarial | arquitectura empresarial para la gestión de tecnologías,Conjunto de requisitos que describen la arquitectura de un sistema de información.,http://data.europa.eu/esco/isced-f/0613,desarrollo y análisis de software y aplicaciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c46cf6f9-8b1e-44b9-a529-f5774c9167dd,edición electrónica,released,knowledge,cross-sector,micropublicación | DTP | autoedición | edición electrónica | edición asistida por ordenador,La creación de documentos usando capacidades de diseño de páginas en un ordenador. El software de edición electrónica puede generar diseños y producir textos de calidad tipográfica e imágenes.,http://data.europa.eu/esco/isced-f/0611,uso de computadores
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c46f9312-e414-42f0-9c8b-1c1886af7b8d,diseño asistido por ordenador para calzado,released,knowledge,sector-specific,CAD para calzado | DAO para calzado | diseño asistido por computadora para calzado,La arquitectura y funcionalidad de los sistemas informáticos de diseño asistido 2D y 3D para el calzado.,http://data.europa.eu/esco/isced-f/0723 | http://data.europa.eu/esco/skill/a2b5dcf3-5b6a-453d-876c-cff540c0faf1,"productos textiles (ropa, calzado y artículos de cuero) | programas informáticos para diseño asistido por ordenador"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4949dcf-bbcc-40f2-8584-6c6299beb7fb,ocuparse de tornos de control numérico,released,skill/competence,cross-sector,manejar tornos CNC | operar tornos CNC | utilizar tornos de control numérico,"Ocuparse de un torno y centro de mecanizado de control numérico computarizado (CNC) diseñado para el mecanizado en procesos de fabricación en metal, madera, materiales plásticos y otros, controlándola y operándolo, con arreglo a la normativa.",http://data.europa.eu/esco/skill/494b8057-daf5-46a0-b33b-416e0115c30a | http://data.europa.eu/esco/skill/e4a9ec84-4eb3-494b-8a70-0fcf0d687f03,utilizar herramientas digitales para controlar maquinaria | ocuparse de tornos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4b1f326-224a-420a-b8b3-814a8f13b6cb,aplicar diseño de interfaz de una web,released,skill/competence,sector-specific,,Desarrollar el diseño de interfaz del sitio web y mejorar el servicio al usuario basándose en los conceptos de diseño facilitados.,http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,configurar sistemas informáticos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4b626c1-e71c-44ec-9f88-042766f37fcc,facilidad de uso de la aplicación,released,knowledge,sector-specific,aptitud para el uso de la aplicación | facilidad de utilización de la aplicación | capacidad de uso de la aplicación | funcionalidad de la aplicación | uso sencillo de la aplicación,"El proceso mediante el cual se puede definir y medir la capacidad de aprendizaje, la eficiencia, la utilidad y la facilidad de uso de una aplicación informática.",http://data.europa.eu/esco/isced-f/0613,desarrollo y análisis de software y aplicaciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4ba12d1-4698-42fa-8abb-789462ea2586,proteger el medio ambiente frente al impacto de las tecnologías digitales,released,skill/competence,occupation-specific,proteger el entorno frente al impacto de las tecnologías digitales | proteger el medio ambiente ante el impacto de las tecnologías digitales,Ser consciente del impacto medioambiental de las tecnologías digitales y su uso.,http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6 | http://data.europa.eu/esco/skill/2aaad52d-599e-4e77-a681-bbc236825821 | http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,cumplir las leyes y normas sobre protección medioambiental | evaluar el impacto ambiental de la conducta personal | seguridad de las tecnologías de la información y de las comunicaciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c4ba511c-dc24-44bc-8bc5-10b2d4a191fb,patrones de diseño de la cadena de bloques,released,knowledge,sector-specific,,"Enfoques de soluciones de cadena de bloques reutilizables, como el diseño de una interfaz de usuario sin bloqueo, el diseño de una API asíncrona, la sincronización segura, la aplicación de un sello de tiempo, la integración de actividades empresariales, los activos simples y los activos con normas.
	",http://data.europa.eu/esco/isced-f/0613,desarrollo y análisis de software y aplicaciones
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c5422318-3218-4ce9-9bdd-f38b93ff63a3,diseñar sistemas electromecánicos,released,skill/competence,cross-sector,idear sistemas electromecánicos | desarrollar sistemas electromecánicos | crear sistemas electromecánicos,"Dibujar bocetos y diseñar sistemas, productos y componentes electromecánicos mediante software y equipos de diseño asistido por ordenador (CAD).",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,diseñar sistemas o equipos eléctricos o electrónicos
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/c5e8abde-d2ba-4e8e-a65e-720b71180666,datos no estructurados,released,knowledge,sector-specific,datos sin estructura | datos sin estructurar | analítica de datos | análisis de datos | conjunto de datos no estructurados,La información que no está ordenada de antemano o que no tiene un modelo de datos predefinido y es difícil de comprender y encontrar pautas en ella sin utilizar técnicas como la minería de datos.,http://data.europa.eu/esco/isced-f/0612,diseño y administración de redes y bases de datos
