conceptType,conceptUri,code,preferredLabel,status,altLabels,inScheme,description
ISCOGroup,http://data.europa.eu/esco/isco/C2310,2310,Profesores de universidades y de la enseñanza superior,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C232,232,Profesores de formación profesional,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2320,2320,Profesores de formación profesional,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C233,233,Profesores de enseñanza secundaria,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C2330,2330,Profesores de enseñanza secundaria,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C234,234,Maestros de enseñanza primaria y maestros preescolares,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2341,2341,Maestros de enseñanza primaria,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C2342,2342,Maestros preescolares,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C235,235,Otros profesionales de la enseñanza,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2351,2351,Especialistas en métodos pedagógicos,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C2352,2352,Educadores para necesidades especiales,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2353,2353,Otros profesores de idiomas,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2354,2354,Otros profesores de música,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2355,2355,Otros profesores de artes,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2356,2356,Instructores en tecnología de la información,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2359,2359,Profesionales de la enseñanza no clasificados bajo otros epígrafes,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C24,24,Especialistas en organización de la administración pública y de empresas,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C241,241,Especialistas en finanzas,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2411,2411,Contables,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C2412,2412,Asesores financieros y en inversiones,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C2413,2413,Analistas financieros,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C242,242,Especialistas en organización de administración,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C2421,2421,Analistas de gestión y organización,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C2422,2422,Especialistas en políticas de administración,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C2423,2423,Especialistas en políticas y servicios de personal y afines,released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
ISCOGroup,http://data.europa.eu/esco/isco/C2424,2424,Especialistas en formación del personal,released,,"http://data.europa.eu/esco/concept-scheme/occupations,
http://data.europa.eu/esco/concept-scheme/isco",
ISCOGroup,http://data.europa.eu/esco/isco/C243,243,"Profesionales de las ventas, la comercialización y las relaciones públicas",released,,"http://data.europa.eu/esco/concept-scheme/isco,
http://data.europa.eu/esco/concept-scheme/occupations",
