conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/0917,medicina y terapia tradicional y complementaria,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0917
SkillGroup,http://data.europa.eu/esco/isced-f/0919,salud no contemplada en la clasificación,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0919
SkillGroup,http://data.europa.eu/esco/isced-f/092,bienestar,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,092
SkillGroup,http://data.europa.eu/esco/isced-f/0920,bienestar sin mayor definición,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,0920
SkillGroup,http://data.europa.eu/esco/isced-f/0921,asistencia a adultos mayores y discapacitados,,,released,2021-10-04T20:14:30.53Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,0921
SkillGroup,http://data.europa.eu/esco/isced-f/0922,asistencia a la infancia y servicios para jóvenes,,,released,2023-07-04T07:50:56.183Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0922
SkillGroup,http://data.europa.eu/esco/isced-f/0923,trabajo social y orientación,,,released,2023-06-30T14:28:45.421Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,0923
SkillGroup,http://data.europa.eu/esco/isced-f/0929,bienestar no contemplado en la clasificación,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0929
SkillGroup,http://data.europa.eu/esco/isced-f/098,programas y certificaciones interdisciplinarios relacionados con la salud y el bienestar,,,released,2024-05-02T16:01:21.601Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,098
SkillGroup,http://data.europa.eu/esco/isced-f/0988,programas y certificaciones interdisciplinarios relacionados con la salud y el bienestar,,,released,2024-05-02T16:01:14.094Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,0988
SkillGroup,http://data.europa.eu/esco/isced-f/099,salud y bienestar no contemplados en la clasificación,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,099
SkillGroup,http://data.europa.eu/esco/isced-f/0999,salud y bienestar no contemplados en la clasificación,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,0999
SkillGroup,http://data.europa.eu/esco/isced-f/10,servicios,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,10
SkillGroup,http://data.europa.eu/esco/isced-f/100,servicios sin mayor definición,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,100
SkillGroup,http://data.europa.eu/esco/isced-f/1000,servicios sin mayor definición,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy",,1000
SkillGroup,http://data.europa.eu/esco/isced-f/101,servicios personales,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,101
SkillGroup,http://data.europa.eu/esco/isced-f/1010,servicios personales sin mayor definición,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,1010
SkillGroup,http://data.europa.eu/esco/isced-f/1011,servicios domésticos,,,released,,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,1011
SkillGroup,http://data.europa.eu/esco/isced-f/1012,peluquería y tratamientos de belleza,,,released,2023-01-25T20:17:17.229Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,1012
SkillGroup,http://data.europa.eu/esco/isced-f/1013,"hotelería, restaurantes y servicios de banquetes",,,released,2023-07-05T09:23:20.685Z,,"http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills",,1013
SkillGroup,http://data.europa.eu/esco/isced-f/1014,deportes,,,released,2023-07-05T16:32:27.796Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,1014
SkillGroup,http://data.europa.eu/esco/isced-f/1015,"viajes, turismo y actividades recreativas",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/isced-f",,1015
SkillGroup,http://data.europa.eu/esco/isced-f/1019,servicios personales no contemplados en la clasificación,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f
http://data.europa.eu/esco/concept-scheme/skills",,1019
